Ref. Des.,X position,Y position,Angle,Side,MPN,Value,Manufacturer,Package
U4,42.000,22.500,0.000,top,LT3045IMSE#PBF,LT3045,Analog Devices,msop-12-vias
U5,17.000,22.500,180.000,top,SN6505BQDBVTQ1,SN6505BQ,Texas Instruments,sot-23-6-dbv0006a
U6,17.000,11.750,180.000,top,SN6505BQDBVTQ1,SN6505BQ,Texas Instruments,sot-23-6-dbv0006a
U7,42.000,11.750,0.000,top,LT3094IMSE#PBF,LT3094,Analog Devices,msop-12-vias
U8,25.000,-4.000,90.000,top,STM32G484RET6,STM32G484RET6,ST,LQFP64
U9,28.712,-24.663,270.000,top,DSC1001DI5-024.5760,24.576 MHz,Microchip,ASDMB
U10,38.250,-19.750,90.000,top,AD7124-4BCPZ,AD7124-4BCPZ,Analog Devices,lfcsp-32
U11,49.500,-1.000,90.000,top,AD8676ARMZ,AD8676ARMZ,Analog Devices,msop-8_rm-8
U12,38.250,-1.000,270.000,top,AD9838BCPZ-RL7,AD9838,Analog Devices,20-LFCSP_CP-20-10
U13,38.250,-7.500,0.000,top,AD5542ABCPZ-1-RL7,AD5542ABCPZ-1-RL7,Analog Devices,lfcsp-10 (CP-10-9)
U14,65.750,0.000,90.000,top,THP210DR,THP210DR,Texas Instruments,soic-8-d0008a
U15,82.000,0.000,0.000,top,LT1739CFE#PBF,LT1739CFE#PBF,Linear Technology,tssop-20-fe-vias
U16,49.536,-14.000,90.000,top,LT6657BHMS8-2.5#PBF,2.5 V,Analog Devices,MSOP-8
U17,66.750,-15.000,90.000,top,LT6203IMS8#TRPBF,LT6203IMS8#TRPBF,Analog Devices,msop-8_ms8
U18,38.250,-12.500,0.000,top,AD5542ABCPZ-1-RL7,AD5542ABCPZ-1-RL7,Analog Devices,lfcsp-10 (CP-10-9)
U19,27.750,5.000,180.000,top,DRV8838DSGR,DRV8838,Texas Instruments,DSG
